Point,x,Re100,Re400,Re1000,Re3200,Re5000
1302,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1262,0.9688,-0.0580,-0.1157,-0.2103,-0.4106,-0.5121
1252,0.9609,-0.0747,-0.1538,-0.2798,-0.5049,-0.5689
1241,0.9531,-0.0911,-0.1928,-0.3464,-0.5560,-0.5726
1231,0.9453,-0.1041,-0.2240,-0.3948,-0.5671,-0.5460
1181,0.9063,-0.1750,-0.3855,-0.5265,-0.4462,-0.4314
1119,0.8594,-0.2323,-0.4539,-0.4306,-0.3799,-0.3776
1048,0.8047,-0.2536,-0.3883,-0.3221,-0.3148,-0.3112
651,0.5000,0.0575,0.0521,0.0258,0.0142,0.0117
306,0.2344,0.1796,0.3033,0.3240,0.2864,0.2809
296,0.2266,0.1794,0.3037,0.3333,0.2954,0.2883
204,0.1563,0.1652,0.2840,0.3767,0.3753,0.3649
123,0.0938,0.1266,0.2319,0.3330,0.4318,0.4407
102,0.0781,0.1127,0.2123,0.3112,0.4224,0.4468
92,0.0703,0.1040,0.1994,0.2968,0.4109,0.4433
82,0.0625,0.0947,0.1849,0.2802,0.3949,0.4336
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
