Point,y,Re100,Re400,Re1000,Re3200,Re5000
1302,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1272,0.9766,0.8500,0.7698,0.6756,0.5360,0.5015
1262,0.9688,0.8057,0.7061,0.6009,0.4886,0.4782
1252,0.9609,0.7512,0.6333,0.5284,0.4661,0.4771
1241,0.9531,0.6982,0.5695,0.4776,0.4610,0.4780
1109,0.8516,0.2398,0.2931,0.3383,0.3491,0.3494
957,0.7344,0.0070,0.1648,0.1908,0.2035,0.2047
804,0.6172,-0.1379,0.0221,0.0580,0.0780,0.0818
651,0.5000,-0.2091,-0.1150,-0.0620,-0.0369,-0.0321
590,0.4531,-0.2140,-0.1711,-0.1079,-0.0808,-0.0752
367,0.2813,-0.1580,-0.3286,-0.2794,-0.2414,-0.2359
224,0.1719,-0.1019,-0.2441,-0.3883,-0.3445,-0.3375
133,0.1016,-0.0648,-0.1472,-0.3018,-0.4314,-0.4169
92,0.0703,-0.0469,-0.1038,-0.2238,-0.4081,-0.4456
82,0.0625,-0.0419,-0.0947,-0.2019,-0.3839,-0.4360
72,0.0547,-0.0368,-0.0809,-0.1794,-0.3530,-0.4153
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
